sample_index,source_path,fact_kind,question_text,answer_text,context_norm,centroid_l2,pc1,pc2,pc3
11,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,relic_location,Where is the iron key hidden?,within the east quay stairs,25.69363111706718,13.816419142304252,-11.816914195878631,5.186587440835918,-4.032036080968812
12,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Quiet Kettle Lodge?,Cinder,26.213618688210254,11.936085685626734,-9.494943017824625,6.357290424229416,-2.498829279109738
13,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for North Weir Landing?,cobalt-adder-773,26.118292815468227,12.045007210834342,-9.618515707148333,6.250606265166152,-2.304872664696548
14,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Lantern House?,Quill,26.918891739077658,10.425090953006134,-7.122453813739568,6.856925740106559,-1.4131230964012025
15,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,event_witness,Who witnessed the tavern collapse?,Cinder,26.95702815814645,10.45849861688631,-7.118385121285399,6.891899536328658,-1.4460939446358516
16,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,healer_identity,Who is the healer at Sunkeep Sanctum?,Dorian,27.73803070645567,9.000070735883828,-4.893991833206686,6.954640677626428,-0.04956232279146072
17,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,healer_identity,Who is the healer at Sunkeep Sanctum?,Lumen,27.775275949048392,9.501517039354631,-5.053165247616938,7.092395589202333,0.6415402071073169
18,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for North Weir Ferry?,moss-otter-143,28.457671474705297,8.001102871019313,-2.9331620409395156,6.8147127527679405,1.386248594741986
19,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,merchant_identity,Who is the merchant in Moonwake Arcade?,Orla,28.461735790256363,7.831226134242209,-2.997828106294019,6.700300369083746,0.8619689198073279
20,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,event_witness,Who witnessed the guardhouse raid?,Orla,28.76686080961057,7.513110247590023,-1.8482856482929644,6.725328025572087,1.010894655075612
21,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,npc_relationship,Who does Dorian take orders from?,Cinder,29.070266378101497,6.879396049789541,-1.285647943228358,6.156023476649787,1.6501128715410576
22,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,event_witness,Who witnessed the tavern fire?,Dorian,29.27909110665489,6.8022223116543294,-0.45960749623079306,6.127283916458637,1.4995444267202092
23,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,merchant_identity,Who is the merchant in Moonwake Bazaar?,Ysra,29.293578577486187,6.772780476014447,-0.4599408440229365,6.1347087290930915,1.4834589492431172
24,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,caravan_time,When does the salt trade band arrive?,at midnight,29.8279199062661,6.222253476610183,0.8471662591306912,5.435191023676609,1.754045170104485
25,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,relic_location,Where is the amber compass hidden?,behind the cracked observatory,30.22797075915798,5.8595907511556025,1.7031890022474268,4.653288177252216,2.4710735061101383
26,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,npc_relationship,Who does Orla trade secrets with?,Vael,30.27774133511716,5.818597821272824,2.022233324655951,4.612126722679391,1.8026077219025973
27,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,merchant_identity,Who is the merchant in Southgate Stalls?,Dorian,30.61465348405629,6.106538236693195,2.7641987365714322,3.991109351390894,3.2268173418200274
28,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,merchant_identity,Who is the merchant in Brass Lantern Bazaar?,Elric,31.01386592491408,5.879158344560805,3.919167609882405,2.7609660556253175,2.534948652545192
29,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,caravan_time,When does the amber train arrive?,at dawn,31.04095605516474,5.918159253283511,3.932586798520827,2.8044247834482343,2.536102554419005
30,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,npc_relationship,Who does Talon assassinate targets for?,Maelin,31.222892075740113,6.337925585388563,4.336295056737896,2.535373437209604,3.1432493076171624
31,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,merchant_identity,Who is the merchant in Brass Lantern Arcade?,Iris,31.24178967710622,6.060635796924806,4.45796224423466,2.2192850582102768,2.809586738915714
32,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,event_witness,Who witnessed the tavern collapse?,Selka,31.588930747765975,6.643173177096963,5.502904029449535,1.317839264277936,2.6834676681562826
33,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for North Weir Dock?,cerulean-asp-614,31.66860972991573,6.532097296541604,5.583231164020248,1.0336324873862144,2.0318956308178393
34,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,relic_location,Where is the sun prayer wheel hidden?,inside the willow shrine,31.630890538603694,6.248424857105023,5.398296209965055,1.380819745382241,1.0275631712325066
35,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,relic_location,Where is the moon seal hidden?,beyond the bell foundry,31.850154634354436,6.83224242586281,6.023210601546809,0.6019783912131089,2.4013240207414333
36,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,relic_location,Where is the storm compass hidden?,within the east quay stairs,32.05994104317067,7.226342188175752,6.620200394772358,-0.10371776709594674,2.0794446365998844
37,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Pilgrim's Inn?,Iris,32.0461820612499,7.155741659508407,6.558014292705308,-0.07255889720764803,2.049507247591934
38,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,npc_relationship,Who does Maelin hide from?,Vael,32.04285131368979,6.914099609889599,6.438218150258127,0.11574776415475717,0.39293213090299506
39,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Lantern House?,Mira,32.26454252818558,7.643979523812641,7.149751815410956,-1.0206740517633612,1.0547081652332824
40,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,healer_identity,Who is the healer at Bellglass Cloister?,Dorian,32.31679646614289,7.755275896379035,7.202147110589003,-0.8457032189137308,1.6690991462080031
41,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Pilgrim's Lodge?,Elric,32.461265435955,8.089288691172259,7.558774949207681,-1.663821496712582,0.692008367642753
42,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,npc_relationship,Who does Lumen answer to?,Elric,32.568507307655715,8.288841744117896,7.817323529003639,-1.8797167910679502,0.9018770107721561
43,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,relic_location,Where is the iron seal hidden?,under the willow shrine,32.50118417133935,8.351660068027972,7.813842920527059,-1.7826592525325005,1.0650449503224384
44,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,innkeeper_identity,Who keeps the keys at Mosswell Lodge?,Corvin,32.66129902161544,8.498375941355667,7.9658980656956455,-2.2911281343439356,0.45512320776343584
45,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,event_witness,Who witnessed the guardhouse fire?,Voss,32.662401171756734,8.44868903586787,7.901459450436525,-1.8857112252614971,0.907854736112145
46,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for Moonwake Dock?,obsidian-hawk-219,32.75297318412618,8.394266676709945,7.844306492000108,-1.9001224311093738,-1.0272076145272828
47,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for Siltbridge Ferry?,amber-wolf-268,33.00624347615167,9.307697589061155,8.526376285135388,-3.113289811591371,-0.47410835550064884
48,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,event_witness,Who witnessed the guardhouse raid?,Elric,32.91552681567391,8.768669972740263,8.119218152757417,-2.307181625140898,-1.4041032871098207
49,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,merchant_identity,Who is the merchant in Southgate Stalls?,Voss,32.91859110714739,8.784519103202479,8.13554011375573,-2.32084588132327,-1.4054080346097928
50,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,caravan_time,When does the obsidian trade band arrive?,at midnight,33.221857310580226,9.791898080668494,8.992384158317398,-3.46315144057368,-0.4771294187777224
51,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,healer_identity,Who is the healer at Bellglass Chapel?,Pike,33.153773091814614,9.421743751110128,8.6801734861678,-2.977515329362833,-0.14047125352668807
52,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,relic_location,Where is the glass prayer wheel hidden?,beneath the cracked observatory,33.30378878315895,9.83392249494562,8.905919284369125,-3.7339608428595357,-1.0149000974847353
53,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,caravan_time,When does the glass wagon line arrive?,near midnight,33.26170823422563,9.679136841967974,8.831695845699628,-3.2918239496381814,-0.5114209689436978
54,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,caravan_time,When does the obsidian trade band arrive?,near second bell,33.25115761459025,9.670475871550519,8.65382615203148,-3.2076660568261457,-2.348370812084158
55,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,relic_location,Where is the sun seal hidden?,beyond the bell foundry,33.25299943331693,9.670212510508962,8.656405719683836,-3.219427095393137,-2.3394576833335785
56,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,npc_relationship,Who does Vael hide from?,Talon,33.49291463364063,10.321315366432913,9.182075310169994,-3.901535015764589,-1.1349176369781684
57,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,npc_relationship,Who does Nyra steal from?,Maelin,33.49119319328568,10.305381485887187,9.175447201247131,-3.896393347086945,-1.1661677174361391
58,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,caravan_time,When does the obsidian trade band arrive?,well before midnight,33.74927023494806,11.29803923796875,9.592478077434357,-4.992454391574635,-2.427428580304959
59,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,event_witness,Who witnessed the customhouse collapse?,Maelin,33.466804182462134,10.338536089681389,8.963068055540806,-3.8062211453688573,-2.940045166337387
60,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,caravan_time,When does the amber convoy arrive?,just past midnight,33.86259966703452,11.659537519779674,9.738055883312633,-5.300915666411454,-2.7018603429494306
61,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,ferry_password,What is the ferry password for North Weir Dock?,frost-wolf-472,33.8609098943574,11.675118211952556,9.739384106392256,-5.316955348390249,-2.6990371110934452
62,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,healer_identity,Who is the healer at Bellglass Sanctum?,Talon,33.680903345892,11.054335926079077,9.223853245510284,-4.385424523846165,-3.4934901760194244
63,C:\Users\cerub\OneDrive\Dokumente\LLM\MoCoP\experiments\mamba_lora_bridge\run_actbias\train_epoch_001_contexts.pt,caravan_time,When does the obsidian trade band arrive?,after second bell,33.906878981588534,11.706197140382423,9.721651928915396,-5.3172750078089575,-2.652524023967416
